,Pclass,Sex,Age,SibSp,Parch,Fare,Survived,Embarked_Q,Embarked_C,Embarked_S
928,3,0,-0.6588940036862848,-0.4789037285092147,-0.4448294924492,-0.4761019129518807,1,0,0,1
0,3,1,-0.58140610306347,0.4811038987780166,-0.4448294924492,-0.5034024657743242,0,0,0,1
878,3,1,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.49092055638477805,0,0,0,1
503,3,0,0.5809124062787533,-0.4789037285092147,-0.4448294924492,-0.4582236748203691,0,0,0,1
103,3,1,0.27096080378749376,-0.4789037285092147,-0.4448294924492,-0.47626233389943917,0,0,0,1
807,3,0,-0.8913577055547295,-0.4789037285092147,-0.4448294924492,-0.4932553576456285,0,0,0,1
1245,3,0,-2.2729669736595186,0.4811038987780166,1.865812593328589,-0.24585919755552074,1,0,0,1
889,1,1,-0.27145450057221043,-0.4789037285092147,-0.4448294924492,-0.0636944468641719,1,0,1,0
1284,2,1,1.3557914125069022,-0.4789037285092147,-0.4448294924492,-0.4405870345014454,0,0,0,1
747,2,0,0.03849710191904911,-0.4789037285092147,-0.4448294924492,-0.3922674719838462,1,0,0,1
547,2,1,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.3755972229152745,1,0,1,0
1058,3,1,-0.8913577055547295,1.441111526065248,1.865812593328589,0.02086478754162664,0,0,0,1
300,3,0,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.49373855327080446,1,1,0,0
573,3,0,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.49373855327080446,1,1,0,0
429,3,1,0.19347290316467888,-0.4789037285092147,-0.4448294924492,-0.4879402057686925,1,0,0,1
623,3,1,-0.6588940036862848,-0.4789037285092147,-0.4448294924492,-0.49172459390507095,0,0,0,1
493,1,1,3.2155010274544593,-0.4789037285092147,-0.4448294924492,0.3132793176381311,0,0,1,0
1216,3,1,-0.5039182024406551,-0.4789037285092147,-0.4448294924492,-0.5072680307757322,0,0,0,1
706,2,0,1.2008156112612725,-0.4789037285092147,-0.4448294924492,-0.38260355948032637,1,0,0,1
953,3,1,-0.8913577055547295,-0.4789037285092147,-0.4448294924492,-0.49373855327080446,0,0,0,1
1295,1,1,1.0458398100156425,0.4811038987780166,-0.4448294924492,-0.10774642562021669,0,0,1,0
877,3,1,-0.8138698049319146,-0.4789037285092147,-0.4448294924492,-0.49092055638477805,0,0,0,1
1234,1,0,2.208158319357866,-0.4789037285092147,0.7104915504396945,9.258679926521264,1,0,1,0
138,3,1,-1.0463335068003592,-0.4789037285092147,-0.4448294924492,-0.4653904323329794,0,0,0,1
699,3,1,0.9683519093928278,-0.4789037285092147,-0.4448294924492,-0.49567133577150846,0,0,0,1
1045,3,1,-1.278797208668804,3.3611267806397107,1.865812593328589,-0.036877089666904374,0,0,0,1
862,1,0,1.433279313129717,-0.4789037285092147,-0.4448294924492,-0.14237415690282892,1,0,0,1
959,1,1,0.115985002541864,-0.4789037285092147,-0.4448294924492,-0.09196139093696738,0,0,1,0
419,3,0,-1.5112609105372485,-0.4789037285092147,1.865812593328589,-0.17676222315535398,0,0,0,1
323,2,0,-0.58140610306347,0.4811038987780166,0.7104915504396945,-0.08302227187121156,1,0,0,1
193,2,1,-2.053676214896953,0.4811038987780166,0.7104915504396945,-0.14100574689233056,1,0,0,1
629,3,1,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.494061327948422,0,1,0,0
380,1,0,0.9683519093928278,-0.4789037285092147,-0.4448294924492,3.754034187651338,1,0,1,0
460,1,1,1.433279313129717,-0.4789037285092147,-0.4448294924492,-0.13037544313845872,1,0,0,1
498,1,0,-0.3489424011950253,0.4811038987780166,1.865812593328589,2.2856026827414997,0,0,0,1
705,2,1,0.7358882075243831,-0.4789037285092147,-0.4448294924492,-0.14100574689233056,0,0,0,1
834,3,1,-0.8913577055547295,-0.4789037285092147,-0.4448294924492,-0.4831082495169326,0,0,0,1
35,1,1,0.9683519093928278,0.4811038987780166,-0.4448294924492,0.3615177032907007,0,0,0,1
1175,3,0,-2.1311641155197676,0.4811038987780166,0.7104915504396945,-0.25286553412057267,1,0,0,1
405,2,1,0.3484487044103087,0.4811038987780166,-0.4448294924492,-0.2376448719275289,0,0,0,1
1279,3,1,-0.6588940036862848,-0.4789037285092147,-0.4448294924492,-0.49373855327080446,0,1,0,0
1149,2,0,-0.8138698049319146,-0.4789037285092147,-0.4448294924492,-0.3922674719838462,1,0,0,1
649,3,0,-0.5039182024406551,-0.4789037285092147,-0.4448294924492,-0.49760411827221235,1,0,0,1
1095,2,1,-0.3489424011950253,-0.4789037285092147,-0.4448294924492,-0.4405870345014454,0,0,0,1
438,1,1,2.673085723094755,0.4811038987780166,4.176454679106378,4.43968877977607,0,0,0,1
1277,3,1,-0.4264303018178402,-0.4789037285092147,-0.4448294924492,-0.4932553576456285,0,0,0,1
294,3,1,-0.4264303018178402,-0.4789037285092147,-0.4448294924492,-0.49092055638477805,0,0,0,1
341,1,0,-0.4264303018178402,2.401119153352479,1.865812593328589,4.43968877977607,1,0,0,1
329,1,0,-1.0463335068003592,-0.4789037285092147,0.7104915504396945,0.47708263457279226,1,0,1,0
755,2,1,-2.2342230233481115,0.4811038987780166,0.7104915504396945,-0.3632757344732867,1,0,0,1
1043,3,1,2.4018780709149032,-0.4789037285092147,-0.4448294924492,1.373324565679444e-16,0,0,0,1
1008,3,0,-2.2086520161425827,0.4811038987780166,0.7104915504396945,-0.3207545194577995,1,0,0,1
793,1,1,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.05024614622427373,0,0,1,0
121,3,1,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.4879402057686925,0,0,0,1
146,3,1,-0.19396659994939555,-0.4789037285092147,-0.4448294924492,-0.49285333888548205,1,0,0,1
812,2,1,0.4259366050331235,-0.4789037285092147,-0.4448294924492,-0.4405870345014454,0,0,0,1
358,3,0,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.4912413982798949,1,1,0,0
846,3,1,-0.11647869932658066,7.201157289788635,1.865812593328589,0.7007210321642467,0,0,0,1
783,3,1,-0.11647869932658066,0.4811038987780166,1.865812593328589,-0.19029170066028173,0,0,0,1
680,3,0,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.4862490210805766,0,1,0,0
255,3,0,-0.03899079870376577,-0.4789037285092147,1.865812593328589,-0.3488610425830365,1,0,1,0
1030,3,1,0.813376108147198,0.4811038987780166,6.487096764884167,0.26294579575479843,0,0,0,1
449,1,1,1.7432309156209767,-0.4789037285092147,-0.4448294924492,-0.05403053436065206,1,0,0,1
731,3,1,-1.4337730099144337,-0.4789037285092147,-0.4448294924492,-0.2804076847556041,0,0,1,0
181,2,1,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.3526454307194149,0,0,1,0
263,1,1,0.813376108147198,-0.4789037285092147,-0.4448294924492,-0.6435291970753618,0,0,0,1
658,2,1,-0.5039182024406551,-0.4789037285092147,-0.4448294924492,-0.3922674719838462,0,0,0,1
1088,3,0,-0.8913577055547295,-0.4789037285092147,-0.4448294924492,-0.4932553576456285,1,0,0,1
700,1,0,-0.8913577055547295,0.4811038987780166,-0.4448294924492,3.754034187651338,1,0,1,0
569,3,1,0.19347290316467888,-0.4789037285092147,-0.4448294924492,-0.49172459390507095,1,0,0,1
861,2,1,-0.6588940036862848,0.4811038987780166,-0.4448294924492,-0.4212592094944057,0,0,0,1
257,1,0,0.03849710191904911,-0.4789037285092147,-0.4448294924492,1.0283276660335692,1,0,0,1
1113,2,0,-0.58140610306347,-0.4789037285092147,-0.4448294924492,-0.4405870345014454,1,0,0,1
485,3,0,-0.11647869932658066,2.401119153352479,0.7104915504396945,-0.15131327596858482,0,0,0,1
147,3,0,-1.5887488111600634,1.441111526065248,1.865812593328589,0.02086478754162664,0,0,0,1
697,3,0,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.494061327948422,1,1,0,0
674,2,1,-0.11647869932658066,-0.4789037285092147,-0.4448294924492,-0.6435291970753618,0,0,0,1
472,2,0,0.27096080378749376,0.4811038987780166,1.865812593328589,-0.10718205313001114,1,0,0,1
1218,1,1,1.2783035118840873,-0.4789037285092147,-0.4448294924492,0.8872345434821797,0,0,1,0
